Id,FromAddress,ToAddress,Speed,Type,PermitDirection
10101,10003,10005,0,Horizontal,Forward
10201,10002,10004,0,Horizontal,Forward
10301,10003,10004,0,Horizontal,Forward
10401,10004,10006,0,Horizontal,Forward
10501,10006,10007,0,Horizontal,Forward
10601,10007,10008,0,Horizontal,Forward
10701,10010,10009,0,Horizontal,Forward
10801,10008,10010,0,Horizontal,Forward
10901,10011,10010,0,Horizontal,Forward
10902,10012,10011,0,Horizontal,Forward
11001,10013,10012,0,Horizontal,Forward
11101,10014,10013,0,Horizontal,Forward
11201,10015,10014,0,Horizontal,Forward
11202,10016,10015,0,Horizontal,Forward
11203,10001,10016,0,Horizontal,Forward
11204,10002,10001,0,Horizontal,Forward
11301,10004,10014,0,Horizontal,Forward
11401,10006,10013,0,Horizontal,Forward
11501,10007,10012,0,Horizontal,Forward
11601,10017,10010,0,Horizontal,Forward
11602,10017,10018,0,Horizontal,Forward
11603,10018,10019,0,Horizontal,Forward
11604,10019,10020,0,Horizontal,Forward
11605,10020,10021,0,Horizontal,Forward
11606,10021,10022,0,Horizontal,Forward
11607,10022,10023,0,Horizontal,Forward
11608,10023,10024,0,Horizontal,Forward
11609,10024,10025,0,Horizontal,Forward
11610,10025,10026,0,Horizontal,Forward
11611,10026,10027,0,Horizontal,Forward
11612,10027,10028,0,Horizontal,Forward
11613,10028,10029,0,Horizontal,Forward
11614,10029,10030,0,Horizontal,Forward
11615,10030,10031,0,Horizontal,Forward
11616,10031,10032,0,Horizontal,Forward
11617,10032,10033,0,Horizontal,Forward
11618,10033,10034,0,Horizontal,Forward
11619,10034,10035,0,Horizontal,Forward
11620,10036,10012,0,Horizontal,Forward
11621,10037,10013,0,Horizontal,Forward
11622,10038,10015,0,Horizontal,Forward
11623,10046,10003,0,Horizontal,Forward
11624,10040,10005,0,Horizontal,Forward
11625,10041,10016,0,Horizontal,Forward
11626,10046,10002,0,Horizontal,Forward
11627,10046,10039,0,Horizontal,Forward
11632,10032,10042,0,Horizontal,Forward
11633,10033,10043,0,Horizontal,Forward
11634,10034,10044,0,Horizontal,Forward
11635,10035,10045,0,Horizontal,Forward
